match_id,coach_id,team
28731,5544,North Queensland Cowboys
28731,902,Melbourne Storm
28733,469,Gold Coast Titans
28733,215,Canberra Raiders
28734,508,Wests Tigers
28734,239,Penrith Panthers
28735,505,Manly Warringah Sea Eagles
28735,6075,Newcastle Knights
28736,1822,South Sydney Rabbitohs
28736,2839,Cronulla Sutherland Sharks
28737,902,Melbourne Storm
28737,260,Canterbury Bankstown Bulldogs
28738,508,Wests Tigers
28738,211,Parramatta Eels
28739,469,Gold Coast Titans
28739,505,Manly Warringah Sea Eagles
28740,2924,Sydney Roosters
28740,16571,Brisbane Broncos
28741,1202,Cronulla Sutherland Sharks
28741,1155,Warriors
28742,239,Penrith Panthers
28742,1822,South Sydney Rabbitohs
28743,215,Canberra Raiders
28743,3083,St George Illawarra Dragons
28744,6075,Newcastle Knights
28744,5544,North Queensland Cowboys
28745,505,Manly Warringah Sea Eagles
28745,508,Wests Tigers
28746,260,Canterbury Bankstown Bulldogs
28746,1822,South Sydney Rabbitohs
28747,16571,Brisbane Broncos
28747,902,Melbourne Storm
28748,1202,Cronulla Sutherland Sharks
28748,3083,St George Illawarra Dragons
28749,239,Penrith Panthers
28749,469,Gold Coast Titans
28750,6075,Newcastle Knights
28750,215,Canberra Raiders
28751,1155,Warriors
28751,5544,North Queensland Cowboys
28752,2924,Sydney Roosters
28752,211,Parramatta Eels
28753,260,Canterbury Bankstown Bulldogs
28753,505,Manly Warringah Sea Eagles
28754,469,Gold Coast Titans
28754,16571,Brisbane Broncos
28755,211,Parramatta Eels
28755,1202,Cronulla Sutherland Sharks
28756,5544,North Queensland Cowboys
28756,239,Penrith Panthers
28758,1155,Warriors
28758,1822,South Sydney Rabbitohs
28757,3083,St George Illawarra Dragons
28757,6075,Newcastle Knights
28759,215,Canberra Raiders
28759,2924,Sydney Roosters
28760,902,Melbourne Storm
28760,508,Wests Tigers
28761,16571,Brisbane Broncos
28761,5544,North Queensland Cowboys
28762,2924,Sydney Roosters
28762,260,Canterbury Bankstown Bulldogs
28763,6075,Newcastle Knights
28763,239,Penrith Panthers
28764,215,Canberra Raiders
28764,1155,Warriors
28765,1822,South Sydney Rabbitohs
28765,902,Melbourne Storm
28766,505,Manly Warringah Sea Eagles
28766,1202,Cronulla Sutherland Sharks
28767,508,Wests Tigers
28767,3083,St George Illawarra Dragons
28768,469,Gold Coast Titans
28768,211,Parramatta Eels
28769,2924,Sydney Roosters
28769,3083,St George Illawarra Dragons
28770,902,Melbourne Storm
28770,1155,Warriors
28771,505,Manly Warringah Sea Eagles
28771,1822,South Sydney Rabbitohs
28772,5544,North Queensland Cowboys
28772,215,Canberra Raiders
28773,508,Wests Tigers
28773,16571,Brisbane Broncos
28774,469,Gold Coast Titans
28774,6075,Newcastle Knights
28775,1202,Cronulla Sutherland Sharks
