,player_id,match_id,team,opposition_team,number,position,captain
0,5395,8661,"Balmain
TIGERS",NORTH SYDNEY,10,2R,False
0,13445,8661,NORTH SYDNEY,"Balmain
TIGERS",10,2R,False
0,8973,8661,"Balmain
TIGERS",NORTH SYDNEY,11,FR,False
0,8929,8661,NORTH SYDNEY,"Balmain
TIGERS",11,FR,False
0,5738,8661,"Balmain
TIGERS",NORTH SYDNEY,12,HK,False
0,12823,8661,NORTH SYDNEY,"Balmain
TIGERS",12,HK,False
0,8962,8661,"Balmain
TIGERS",NORTH SYDNEY,13,FR,False
0,9007,8661,NORTH SYDNEY,"Balmain
TIGERS",13,FR,False
0,9020,8662,GLEBE,EASTERN SUBURBS,1,FB,False
0,8942,8662,EASTERN SUBURBS,GLEBE,1,FB,False
0,8863,8662,GLEBE,EASTERN SUBURBS,2,W,False
0,8834,8662,EASTERN SUBURBS,GLEBE,2,W,False
0,8926,8662,GLEBE,EASTERN SUBURBS,3,C,False
0,5404,8662,EASTERN SUBURBS,GLEBE,3,C,False
0,8713,8662,GLEBE,EASTERN SUBURBS,4,C,False
0,8951,8662,EASTERN SUBURBS,GLEBE,4,C,False
0,8875,8662,GLEBE,EASTERN SUBURBS,5,W,False
0,5379,8662,EASTERN SUBURBS,GLEBE,5,W,True
0,9027,8662,GLEBE,EASTERN SUBURBS,6,FE,False
0,5728,8662,EASTERN SUBURBS,GLEBE,6,FE,False
0,3583,8662,GLEBE,EASTERN SUBURBS,7,HB,False
0,12954,8662,EASTERN SUBURBS,GLEBE,7,HB,False
0,5384,8662,GLEBE,EASTERN SUBURBS,8,L,True
0,8996,8662,EASTERN SUBURBS,GLEBE,8,L,False
0,8715,8662,GLEBE,EASTERN SUBURBS,9,2R,False
0,12896,8662,EASTERN SUBURBS,GLEBE,9,2R,False
0,9014,8662,GLEBE,EASTERN SUBURBS,10,2R,False
0,8941,8662,EASTERN SUBURBS,GLEBE,10,2R,False
0,8694,8662,GLEBE,EASTERN SUBURBS,11,FR,False
0,8809,8662,EASTERN SUBURBS,GLEBE,11,FR,False
0,5386,8662,GLEBE,EASTERN SUBURBS,12,HK,False
0,3674,8662,EASTERN SUBURBS,GLEBE,12,HK,False
0,7522,8662,GLEBE,EASTERN SUBURBS,13,FR,False
0,5408,8662,EASTERN SUBURBS,GLEBE,13,FR,False
0,9000,8662,GLEBE,EASTERN SUBURBS,14,B,False
0,12929,8660,NEWTOWN,"Western Suburbs
MAGPIES",1,FB,False
0,8960,8660,"Western Suburbs
MAGPIES",NEWTOWN,1,FB,False
0,11492,8660,NEWTOWN,"Western Suburbs
MAGPIES",2,W,False
0,8957,8660,"Western Suburbs
MAGPIES",NEWTOWN,2,W,False
0,12901,8660,NEWTOWN,"Western Suburbs
MAGPIES",3,C,False
0,51768,8660,"Western Suburbs
MAGPIES",NEWTOWN,3,C,False
0,9038,8660,NEWTOWN,"Western Suburbs
MAGPIES",4,C,False
0,5378,8660,"Western Suburbs
MAGPIES",NEWTOWN,4,C,True
0,8854,8660,NEWTOWN,"Western Suburbs
MAGPIES",5,W,False
0,5405,8660,"Western Suburbs
MAGPIES",NEWTOWN,5,W,False
0,8978,8660,NEWTOWN,"Western Suburbs
MAGPIES",6,FE,False
0,5387,8660,"Western Suburbs
MAGPIES",NEWTOWN,6,FE,False
0,8864,8660,NEWTOWN,"Western Suburbs
MAGPIES",7,HB,False
0,8975,8660,"Western Suburbs
MAGPIES",NEWTOWN,7,HB,False
0,8872,8660,NEWTOWN,"Western Suburbs
MAGPIES",8,L,False
0,8950,8660,"Western Suburbs
MAGPIES",NEWTOWN,8,L,False
0,5394,8660,NEWTOWN,"Western Suburbs
MAGPIES",9,2R,False
0,8939,8660,"Western Suburbs
MAGPIES",NEWTOWN,9,2R,False
0,8887,8660,NEWTOWN,"Western Suburbs
MAGPIES",10,2R,False
0,8888,8660,"Western Suburbs
MAGPIES",NEWTOWN,10,2R,False
0,8698,8660,NEWTOWN,"Western Suburbs
MAGPIES",11,FR,False
0,8807,8660,"Western Suburbs
MAGPIES",NEWTOWN,11,FR,False
0,12264,8660,NEWTOWN,"Western Suburbs
MAGPIES",12,HK,False
0,8691,8660,"Western Suburbs
MAGPIES",NEWTOWN,12,HK,False
0,5385,8660,NEWTOWN,"Western Suburbs
MAGPIES",13,FR,True
0,8849,8660,"Western Suburbs
MAGPIES",NEWTOWN,13,FR,False
0,8908,8660,NEWTOWN,"Western Suburbs
MAGPIES",14,B,False
0,12154,8663,ANNANDALE,NEWTOWN,1,FB,False
0,8908,8663,NEWTOWN,ANNANDALE,1,FB,False
0,8988,8663,ANNANDALE,NEWTOWN,2,W,False
0,8949,8663,NEWTOWN,ANNANDALE,2,W,False
0,8935,8663,ANNANDALE,NEWTOWN,3,C,False
0,12901,8663,NEWTOWN,ANNANDALE,3,C,False
0,9015,8663,ANNANDALE,NEWTOWN,4,C,False
0,11492,8663,NEWTOWN,ANNANDALE,4,C,False
0,8953,8663,ANNANDALE,NEWTOWN,5,W,False
0,8854,8663,NEWTOWN,ANNANDALE,5,W,False
0,13498,8663,ANNANDALE,NEWTOWN,6,FE,False
0,9002,8663,NEWTOWN,ANNANDALE,6,FE,False
0,8954,8663,ANNANDALE,NEWTOWN,7,HB,False
0,8864,8663,NEWTOWN,ANNANDALE,7,HB,False
0,8764,8663,ANNANDALE,NEWTOWN,8,L,True
0,8872,8663,NEWTOWN,ANNANDALE,8,L,False
0,8968,8663,ANNANDALE,NEWTOWN,9,2R,False
0,5394,8663,NEWTOWN,ANNANDALE,9,2R,False
0,9032,8663,ANNANDALE,NEWTOWN,10,2R,False
0,8887,8663,NEWTOWN,ANNANDALE,10,2R,False
0,12320,8663,ANNANDALE,NEWTOWN,11,FR,False
0,8698,8663,NEWTOWN,ANNANDALE,11,FR,False
0,12070,8663,ANNANDALE,NEWTOWN,12,HK,False
0,12264,8663,NEWTOWN,ANNANDALE,12,HK,False
0,8974,8663,ANNANDALE,NEWTOWN,13,FR,False
0,5385,8663,NEWTOWN,ANNANDALE,13,FR,True
0,8843,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",1,FB,False
0,8960,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",1,FB,False
0,5722,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",2,W,False
0,8957,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",2,W,False
0,5380,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",3,C,False
0,51768,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",3,C,False
0,5393,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",4,C,False
0,5378,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",4,C,True
0,8895,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",5,W,False
0,5405,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",5,W,False
0,5381,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",6,FE,False
0,5387,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",6,FE,False
0,3582,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",7,HB,True
0,8975,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",7,HB,False
0,8736,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",8,L,False
0,8950,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",8,L,False
0,5729,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",9,2R,False
0,8939,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",9,2R,False
0,5395,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",10,2R,False
0,12876,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",10,2R,False
0,8973,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",11,FR,False
0,8807,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",11,FR,False
0,5738,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",12,HK,False
0,8691,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",12,HK,False
0,9001,8665,"Balmain
TIGERS","Western Suburbs
MAGPIES",13,FR,False
0,8849,8665,"Western Suburbs
MAGPIES","Balmain
TIGERS",13,FR,False
0,9020,8664,GLEBE,NORTH SYDNEY,1,FB,False
0,9041,8664,NORTH SYDNEY,GLEBE,1,FB,False
0,8863,8664,GLEBE,NORTH SYDNEY,2,W,False
0,5723,8664,NORTH SYDNEY,GLEBE,2,W,True
0,8926,8664,GLEBE,NORTH SYDNEY,3,C,False
0,8881,8664,NORTH SYDNEY,GLEBE,3,C,False
0,8713,8664,GLEBE,NORTH SYDNEY,4,C,False
0,8910,8664,NORTH SYDNEY,GLEBE,4,C,False
0,8875,8664,GLEBE,NORTH SYDNEY,5,W,False
0,9010,8664,NORTH SYDNEY,GLEBE,5,W,False
0,9013,8664,GLEBE,NORTH SYDNEY,6,FE,False
0,8669,8664,NORTH SYDNEY,GLEBE,6,FE,False
0,3583,8664,GLEBE,NORTH SYDNEY,7,HB,False
0,9089,8664,NORTH SYDNEY,GLEBE,7,HB,False
0,5384,8664,GLEBE,NORTH SYDNEY,8,L,True
0,9008,8664,NORTH SYDNEY,GLEBE,8,L,False
0,8715,8664,GLEBE,NORTH SYDNEY,9,2R,False
0,12612,8664,NORTH SYDNEY,GLEBE,9,2R,False
0,9014,8664,GLEBE,NORTH SYDNEY,10,2R,False
0,11682,8664,NORTH SYDNEY,GLEBE,10,2R,False
0,8694,8664,GLEBE,NORTH SYDNEY,11,FR,False
0,8911,8664,NORTH SYDNEY,GLEBE,11,FR,False
0,5386,8664,GLEBE,NORTH SYDNEY,12,HK,False
0,12823,8664,NORTH SYDNEY,GLEBE,12,HK,False
0,7522,8664,GLEBE,NORTH SYDNEY,13,FR,False
0,9007,8664,NORTH SYDNEY,GLEBE,13,FR,False
0,9000,8664,GLEBE,NORTH SYDNEY,14,B,False
0,11460,8664,GLEBE,NORTH SYDNEY,15,B,False
0,8828,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,1,FB,False
0,8942,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",1,FB,False
0,8995,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,2,W,False
0,8834,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",2,W,False
0,8976,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,3,C,False
0,5404,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",3,C,False
0,8882,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,4,C,False
0,5379,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",4,C,True
0,8738,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,5,W,False
0,8951,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",5,W,False
0,9006,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,6,FE,False
0,5728,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",6,FE,False
0,8946,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,7,HB,True
0,12954,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",7,HB,False
0,8994,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,8,L,False
0,8996,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",8,L,False
0,8870,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,9,2R,False
0,12896,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",9,2R,False
0,8805,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,10,2R,False
0,8941,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",10,2R,False
0,9095,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,11,FR,False
0,8809,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",11,FR,False
0,5383,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,12,HK,False
0,3674,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",12,HK,False
0,9016,8666,"South Sydney
RABBITOHS",EASTERN SUBURBS,13,FR,False
0,5408,8666,EASTERN SUBURBS,"South Sydney
RABBITOHS",13,FR,False
0,8935,8667,ANNANDALE,"Balmain
TIGERS",1,FB,False
0,8843,8667,"Balmain
TIGERS",ANNANDALE,1,FB,False
0,8988,8667,ANNANDALE,"Balmain
TIGERS",2,W,False
0,5722,8667,"Balmain
TIGERS",ANNANDALE,2,W,False
0,8937,8667,ANNANDALE,"Balmain
TIGERS",3,C,False
0,5380,8667,"Balmain
TIGERS",ANNANDALE,3,C,False
0,9015,8667,ANNANDALE,"Balmain
TIGERS",4,C,False
0,5393,8667,"Balmain
TIGERS",ANNANDALE,4,C,False
0,11952,8667,ANNANDALE,"Balmain
TIGERS",5,W,False
0,8895,8667,"Balmain
TIGERS",ANNANDALE,5,W,False
0,8998,8667,ANNANDALE,"Balmain
TIGERS",6,FE,False
0,5381,8667,"Balmain
TIGERS",ANNANDALE,6,FE,False
0,8954,8667,ANNANDALE,"Balmain
TIGERS",7,HB,False
0,3582,8667,"Balmain
TIGERS",ANNANDALE,7,HB,True
0,8764,8667,ANNANDALE,"Balmain
TIGERS",8,L,True
0,8736,8667,"Balmain
TIGERS",ANNANDALE,8,L,False
0,8968,8667,ANNANDALE,"Balmain
TIGERS",9,2R,False
0,5729,8667,"Balmain
TIGERS",ANNANDALE,9,2R,False
0,9032,8667,ANNANDALE,"Balmain
TIGERS",10,2R,False
0,5395,8667,"Balmain
TIGERS",ANNANDALE,10,2R,False
0,13498,8667,ANNANDALE,"Balmain
TIGERS",11,FR,False
0,8973,8667,"Balmain
TIGERS",ANNANDALE,11,FR,False
0,12070,8667,ANNANDALE,"Balmain
TIGERS",12,HK,False
0,5738,8667,"Balmain
TIGERS",ANNANDALE,12,HK,False
0,8974,8667,ANNANDALE,"Balmain
TIGERS",13,FR,False
0,9001,8667,"Balmain
TIGERS",ANNANDALE,13,FR,False
0,8966,8669,EASTERN SUBURBS,NEWTOWN,1,FB,False
0,9068,8669,NEWTOWN,EASTERN SUBURBS,1,FB,False
0,8834,8669,EASTERN SUBURBS,NEWTOWN,2,W,False
0,9003,8669,NEWTOWN,EASTERN SUBURBS,2,W,False
0,5404,8669,EASTERN SUBURBS,NEWTOWN,3,C,False
0,9002,8669,NEWTOWN,EASTERN SUBURBS,3,C,False
0,5379,8669,EASTERN SUBURBS,NEWTOWN,4,C,True
0,11492,8669,NEWTOWN,EASTERN SUBURBS,4,C,False
0,8951,8669,EASTERN SUBURBS,NEWTOWN,5,W,False
0,12929,8669,NEWTOWN,EASTERN SUBURBS,5,W,False
0,5728,8669,EASTERN SUBURBS,NEWTOWN,6,FE,False
0,8978,8669,NEWTOWN,EASTERN SUBURBS,6,FE,False
0,12954,8669,EASTERN SUBURBS,NEWTOWN,7,HB,False
0,8864,8669,NEWTOWN,EASTERN SUBURBS,7,HB,False
0,8996,8669,EASTERN SUBURBS,NEWTOWN,8,L,False
0,8872,8669,NEWTOWN,EASTERN SUBURBS,8,L,False
0,12896,8669,EASTERN SUBURBS,NEWTOWN,9,2R,False
0,5394,8669,NEWTOWN,EASTERN SUBURBS,9,2R,False
0,8941,8669,EASTERN SUBURBS,NEWTOWN,10,2R,False
0,8887,8669,NEWTOWN,EASTERN SUBURBS,10,2R,False
0,8809,8669,EASTERN SUBURBS,NEWTOWN,11,FR,False
0,8698,8669,NEWTOWN,EASTERN SUBURBS,11,FR,False
0,3674,8669,EASTERN SUBURBS,NEWTOWN,12,HK,False
0,12264,8669,NEWTOWN,EASTERN SUBURBS,12,HK,False
0,5408,8669,EASTERN SUBURBS,NEWTOWN,13,FR,False
0,5385,8669,NEWTOWN,EASTERN SUBURBS,13,FR,True
0,8891,8669,NEWTOWN,EASTERN SUBURBS,14,B,False
0,13444,8669,NEWTOWN,EASTERN SUBURBS,15,B,False
0,12901,8669,NEWTOWN,EASTERN SUBURBS,16,B,False
0,9020,8668,GLEBE,"South Sydney
RABBITOHS",1,FB,False
0,8828,8668,"South Sydney
RABBITOHS",GLEBE,1,FB,False
0,8863,8668,GLEBE,"South Sydney
RABBITOHS",2,W,False
0,8995,8668,"South Sydney
RABBITOHS",GLEBE,2,W,False
0,8926,8668,GLEBE,"South Sydney
RABBITOHS",3,C,False
0,8976,8668,"South Sydney
RABBITOHS",GLEBE,3,C,False
0,8713,8668,GLEBE,"South Sydney
RABBITOHS",4,C,False
0,8738,8668,"South Sydney
RABBITOHS",GLEBE,4,C,False
0,8875,8668,GLEBE,"South Sydney
RABBITOHS",5,W,False
0,5377,8668,"South Sydney
RABBITOHS",GLEBE,5,W,False
0,9027,8668,GLEBE,"South Sydney
RABBITOHS",6,FE,False
0,9006,8668,"South Sydney
RABBITOHS",GLEBE,6,FE,False
0,3583,8668,GLEBE,"South Sydney
RABBITOHS",7,HB,False
