,player_id,player_name_comma,player_birthday,total_matches,total_points
0,4351,"BAILEY, Dean",-,3,-
0,7445,"BAILEY, John",-,39,12
0,11485,"BAILEY, Joshua",1879-12-23,17,-
0,1341,"BAILEY, Julian",1978-11-17,89,60
0,808,"BAILEY, Luke",1980-01-05,269,80
0,29968,"BAILEY, Max",1997-02-03,1,-
0,11486,"BAILEY, Max",1932-02-25,17,18
0,10941,"BAILEY, Neil",-,16,22
0,298,"BAILEY, Phil",1980-05-25,127,132
0,11487,"BAILEY, Rex",-,14,3
0,5839,"BAILEY, Ron",1914-04-03,89,99
0,11488,"BAILEY, Stan",-,1,-
0,1148,"BAILEY, Trevor",1962-09-28,56,48
0,11489,"BAILEY, Trevor",-,1,-
0,11490,"BAILEY, William",1888-01-27,15,57
0,11492,"BAIN, George",1892-01-08,95,120
0,11491,"BAIN, George",-,72,472
0,8953,"BAIN, James",-,61,50
0,11493,"BAIN, John",-,2,-
0,22848,"BAINBRIDGE, William",1997-09-09,3,-
0,9159,"BAINS, Harold",1888-12-15,39,12
0,20291,"BAIRD, Joe",1902-12-27,28,15
0,14540,"BAITIERI, Jason",1989-07-02,1,-
0,3939,"BAITIERI, Tas",1957-07-14,62,3
0,3135,"BAJOURI, Ahmad",1982-05-04,20,8
0,2686,"BAKER, Daniel",-,1,-
0,30670,"BAKER, Fletcher",1999-12-26,58+,12
0,10406,"BAKER, Frank",-,10,12
0,11068,"BAKER, Ian",1949-08-14,59,12
0,8845,"BAKER, Jack",1890-08-19,77,39
0,10992,"BAKER, John",1946-01-10,177,78
0,5173,"BAKER, Matthew",-,5,-
0,1130,"BAKER, Neil",1960-06-08,153,806
0,11497,"BAKER, Ron",-,3,-
0,1338,"BAKER, Travis",1975-04-15,19,44
0,11498,"BAKES, Colin",-,8,-
0,13447,"BAKEWELL, Bernard",1909-01-01,1,-
0,8772,"BALDOCK, Reg",1886-01-12,3,4
0,8858,"BALKWELL, Horace",1880-09-15,66,13
0,11526,"BALKWELL, Horrie",1908-08-09,13,-
0,11500,"BALL, Syd",1915-05-02,2,-
0,9631,"BALLARD, Bill",1907-03-18,31,9
0,11102,"BALLESTY, John",1945-05-20,55,79
0,5557,"BALLIN, Matt",1984-01-05,220,88
0,11501,"BALMAIN, Jack",1914-11-17,7,-
0,9965,"BAMFORD, Wal",1916-02-17,6,3
0,2893,"BAMPTON, Danny",1980-03-06,10,4
0,11153,"BAMPTON, Darrell",1949-06-20,51,3
0,11121,"BANDIERA, Greg",1949-09-08,81,36
0,1754,"BANDY, Jay",1979-05-29,13,4
0,6660,"BANHAM, Bob",1912-09-22,30,24
0,5689,"BANI, Michael",1984-07-03,41,64
0,5926,"BANKS, Bob",1930-06-15,18,15
0,10270,"BANKS, Charlie",1923-08-31,51,54
0,4240,"BANKS, David",-,5,-
0,6021,"BANKS, Gary",-,43,17
0,11502,"BANKS, Ken",1917-05-18,15,-
0,8643,"BANKS, Simon",1877-09-21,4,6
0,10078,"BANNER, Jack",1916-05-03,5,6
0,14214,"BANNING, Gary",-,2,-
0,2801,"BANNISTER, Robbie",-,2,4
0,17195,"BAPTISTE, Kurt",1991-03-15,79,24
0,10368,"BARAKAT, Gene",1923-08-01,5,6
0,7854,"BARBA, Ben",1989-06-13,168,396
0,13448,"BARBER, John",1950-12-03,25,7
0,20973,"BARCLAY, Glen",1888-09-06,6,-
0,7508,"BARCLAY, Graham",-,3,-
0,8763,"BARCLAY, Wal",-,9,3
0,11503,"BARGE, Randall",-,1,-
0,11098,"BARGH, Tony",-,2,3
0,8966,"BARKER, Charles",1890-12-27,25,20
0,11504,"BARKER, Edmund",1914-03-30,1,-
0,4031,"BARKLEY, Ian",1961-06-08,84,90
0,819,"BARNES, Berrick",1986-05-28,9,4
0,11505,"BARNES, Brian",-,13,8
0,10795,"BARNES, Eric",1940-10-17,69,12
0,10870,"BARNES, Gwyl",1940-07-08,43,70
0,5951,"BARNES, Keith",1934-10-30,193,"1,519"
0,2536,"BARNES, Mark",1968-09-20,57,20
0,10858,"BARNES, Martin",-,4,3
0,391,"BARNES, Nathan",1975-07-22,123,162
0,11506,"BARNES, T",-,1,-
0,4177,"BARNES, Tim",1961-02-08,29,20
0,11337,"BARNES, Trevor",1952-04-24,47,25
0,3089,"BARNES, Troy",1977-01-10,3,6
0,20819,"BARNETSON, Alex",1892-09-13,1,-
0,10540,"BARNETT, Eric",-,7,7
0,3625,"BARNETT, Jack",1880-01-19,75,53
0,21898,"BARNETT, Mitchell",1994-04-15,167+,140
