,ref_id,ref_name_comma,ref_name,ref_birthday
0,42144,"SPAGARINO, Denis",Denis Spagarino,
0,42263,"SPANKIE, Alex",Alex Spankie,
0,44610,"STEWART, Jack",Jack Stewart,
0,42701,"STONE, Jon",Jon Stone,29 Jun 1982
0,42095,"STONE, Mick",Mick Stone,5 Jul 1949
0,42191,"SUTTON, Bernard",Bernard Sutton,
0,42549,"SUTTON, Chris",Chris Sutton,8 Oct 1984
0,42376,"SUTTON, Gerard",Gerard Sutton,23 Oct 1978
0,42380,"SUTTOR, Brett",Brett Suttor,
0,42099,"THOMPSON, Billy",Billy Thompson,21 Sep 1933
0,42239,"THORNTON, Arthur",Arthur Thornton,
0,42285,"TURNELL, Col",Col Turnell,
0,42489,"WALES JR, Baden",Baden Wales Jr,
0,42253,"WALES, Baden",Baden Wales,
0,42257,"WALL, W",W Wall,
0,42321,"WALSH, Frank",Frank Walsh,
0,42097,"WARD, Chris",Chris Ward,
0,42071,"WARD, Eddie",Eddie Ward,3 Mar 1951
0,42264,"WARD, R",R Ward,
0,42151,"WEEKES, Martin",Martin Weekes,
0,42147,"WEEKS, Geoff",Geoff Weeks,
0,20868,"WELCH, Aubrey",Aubrey Welch,12 Sep 1876
0,42063,"WEST, Graeme",Graeme West,
0,42105,"WHITFIELD, Robin",Robin Whitfield,26 Nov 1943
0,42339,"WILLIAMS, Les",Les Williams,
0,42286,"WINTIN, Doug",Doug Wintin,
0,42488,"WISE, Michael",Michael Wise,
0,42316,"YORK, C",C York,
