,coach_id,coach_name_comma,coach_name,coach_birthday
0,5820,"LEWIS, Eric",Eric Lewis,1909-09-20
0,892,"LEWIS, Wally",Wally Lewis,1959-12-01
0,1001,"LINDNER, Bob",Bob 'Bustling' Lindner,1962-11-10
0,5579,"LOUIS, Peter",Peter Louis,1945-01-18
0,3738,"LOWE, Graham",Graham Lowe,1946-10-02
0,3654,"LUTGE, Denis",Denis Lutge,1879-11-26
0,11814,"LYNCH, Charlie",Charlie Lynch,1891
0,5984,"LYNCH, Ron",Ron Lynch,1939-06-12
0,1822,"MAGUIRE, Michael",Michael Maguire,1974-02-05
0,312,"MARSHALL, Benji",Benji Marshall,1985-02-25
0,6141,"MARTIN, Steve",Steve Martin,1957-01-07
0,10606,"MASON, Alan",Alan Mason,1934-07-03
0,9387,"MASON, George",George Mason,1906-10-08
0,7441,"MASTERS, Roy",Roy Masters,1941-10-15
0,236,"MATTERSON, Terry",Terry Matterson,1967-03-04
0,9560,"MATTHEWS, Harry",Harry Matthews,1909-07-19
0,5882,"MAXWELL, Col",Col Maxwell,1917-06-23
0,3607,"MCCABE, Tom",Tom McCabe,1881-08-16
0,6059,"MCCARTHY, Bob",Bob McCarthy,1944-08-05
0,11823,"MCCARTHY, Owen",Owen McCarthy,1882-11-26
0,3410,"MCCLENNAN, Brian",Brian McClennan,1962-01-01
0,5410,"MCCUE, Paddy",Paddy McCue,1883-06-24
0,1478,"MCFADDEN, Andrew",Andrew McFadden,1978-01-20
0,966,"MCGAHAN, Hugh",Hugh 'Paddles' McGahan,1961-11-15
0,558,"MCGREGOR, Paul",Paul 'Mary' McGregor,1967-12-31
0,11819,"MCGUINNESS, Albert",Albert McGuinness,1916-03-25
0,9846,"MCKINNON, Harry",Harry McKinnon,1910-03-16
0,5815,"MCKINNON, Ross",Ross McKinnon,1914-04-12
0,3623,"MCKIVAT, Chris",Chris McKivat,1879-11-27
0,10245,"MCLEAN, Peter",Peter McLean,1925-01-12
0,3807,"MCMAHON, Allan",Allan McMahon,1954-08-09
0,11817,"MCMAHON, Tom",Tom McMahon,-
0,5774,"MCMILLAN, Frank",Frank 'Skinny' McMillan,1899-12-14
0,2832,"MCRAE, Shaun",Shaun 'Bomber' McRae,1959-12-21
0,5806,"MEAD, Les",Les Mead,1909-06-09
0,918,"MENINGA, Mal",Mal Meninga,1960-07-08
0,3580,"MESSENGER, Dally",Dally Messenger,1883-04-12
0,3465,"MILLWARD, Ian",Ian 'Basil' Millward,1960-08-22
0,3554,"MONIE, John",John Monie,1946-10-06
0,6038,"MOORE, Brian",Brian Moore,1944-04-19
0,1243,"MOORE, Kevin",Kevin Moore,1965-11-30
0,762,"MORRIS, John",John Morris,1980-07-29
0,13774,"MULHOLLAND, Peter",Peter Mulholland,1953-11-30
0,9567,"MULLINS (B), George",George Mullins,1907-09-07
0,2826,"MURRAY, Graham",Graham 'Muzza' Murray,1955-01-06
0,1533,"MURRAY, Mark",Mark Murray,1959-05-01
0,5838,"NARVO, Herb",Herb Narvo,1912-08-19
0,11076,"NEUMANN, Louis",Louis Neumann,1936-02-25
0,3624,"NOBLE, Bill",Bill Noble,1884-07-13
0,5789,"NORMAN, Ernie",Ernie 'Bunty' Norman,1912-08-12
0,5404,"NORMAN, Ray",Ray Norman,1888-10-10
0,7454,"NORTON, Brian",Brian 'Chicka' Norton,1944-12-27
0,10310,"NOSWORTHY, Leo",Leo Nosworthy,1927-09-25
0,29763,"O'BRIEN, Adam",Adam O'Brien,1977-10-26
0,5862,"O'CONNELL, Wally",Wally O'Connell,1923-04-16
0,5793,"O'CONNOR, Frank",Frank O'Connor,1906-11-25
0,9252,"O'CONNOR, Leo",Leo O'Connor,1898-05-02
0,6069,"O'NEILL, John",John O'Neill,1943-05-09
0,11813,"O'REILLY, Jack",Jack O'Reilly,1906
0,4342,"O'TOOLE, John",John O'Toole,-
0,5978,"PARISH, Don",Don Parish,1937-10-31
0,10492,"PASKINS, Tony",Tony Paskins,1927-12-05
0,9783,"PATTON, Arthur",Arthur Patton,1915-05-21
0,100,"PAY, Dean",Dean Pay,1969-06-03
0,313,"PAYTEN, Todd",Todd Payten,1979-01-18
0,5769,"PEARCE, Cliff",Cliff Pearce,1907-04-04
0,7416,"PEARCE, Joe",Joe Pearce,1910-09-07
0,3674,"PEARCE, Sandy",Sandy Pearce,1883-05-31
0,873,"PEARCE, Wayne",Wayne Pearce,1960-03-29
0,6109,"PEARD, John",John 'Bomber' Peard,1945-01-15
0,10827,"PEARMAN, Roger",Roger Pearman,1939-09-05
0,11812,"PEPPERELL, Russ",Russ Pepperell,-
0,9040,"PETERS, Herman",Herman Peters,1899-04-18
0,3789,"PIERCE, Greg",Greg Pierce,1950-03-04
0,6110,"PIGGINS, George",George Piggins,1944-10-14
0,5938,"POOLE, Dick",Dick Poole,1930-11-27
0,5945,"POPE, Norm",Norm Pope,1908
0,9628,"PORTER, Harry",Harry 'Tarzan' Porter,1910-07-03
0,508,"POTTER, Michael",Michael Potter,1963-09-24
0,5387,"PRENTICE, Clarrie",Clarrie Prentice,1891-07-01
0,1536,"PRICE, Ray",Ray 'Mr Perpetual Motion' Price,1953-03-04
0,3083,"PRICE, Steven",Steven Price,1977-09-05
0,5930,"PROVAN, Norm",Norm Provan,1932-12-18
0,5900,"PURCELL, Bernie",Bernie Purcell,1928-01-19
0,5964,"RAPER, John",John Raper,1939-04-12
0,2553,"RAPER, Stuart",Stuart Raper,1965-01-05
0,1520,"RAUDONIKIS, Tom",Tom Raudonikis,1950-04-13
0,5865,"RAYNER, Jack",Jack Rayner,1921-04-11
0,1507,"REDDY, Rod",Rod Reddy,1954-03-01
0,7446,"REILLY, Barry",Barry Reilly,1947-03-24
0,5594,"REILLY, Malcolm",Malcolm Reilly,1948-01-19
0,5954,"RITCHIE, Ray",Ray Ritchie,1936-10-31
0,9034,"ROBINSON, George",George Robinson,1894-08-29
0,9267,"ROBINSON, Norm",Norm Robinson,1901-01-29
0,2924,"ROBINSON, Trent",Trent Robinson,1977-03-15
0,14141,"ROGERS, Graham",Graham 'Buck' Rogers,1941-11-18
0,5781,"ROOT, Eddie",Eddie Root,1902-06-26
0,3656,"ROSEWELL, Johnny",Johnny Rosewell,1880-11-23
0,8706,"RUSSELL, Charlie",Charlie Russell,1883-12-05
0,9937,"RYAN, Bruce",Bruce Ryan,1921-07-07
0,6006,"RYAN, Kevin",Kevin 'Kandos' Ryan,1934-08-26
0,10064,"RYAN, Sid",Sid Ryan,1922-03-05
0,2937,"RYAN, Warren",Warren Ryan,1941-10-27
0,810,"RYLES, Jason",Jason Ryles,1979-01-17
0,3210,"SEIBOLD, Anthony",Anthony Seibold,1974-10-03
0,2839,"SHARP, Peter",Peter Sharp,1954-07-16
0,2835,"SHEENS, Tim",Tim Sheens,1950-10-30
0,5199,"SHEPHERD, Jamie",Jamie Shepherd,1973-07-10
0,7452,"SHINE, Ken",Ken Shine,1947-11-22
0,6177,"SILCOCK, Nat",Nat Silcock,1927-11-25
0,1144,"SIMMONS, Royce",Royce Simmons,1960-05-02
0,7536,"SLADE, Johnny",Johnny Slade,-
0,11822,"SLATTERY, Ken",Ken Slattery,-
0,9703,"SMITH, Athol",Athol Smith,1913-08-27
0,6012,"SMITH, Billy",Billy Smith,1942-07-12
0,2831,"SMITH, Brian",Brian Smith,1954-03-14
0,11818,"SMITH, Jeff",Jeff Smith,-
0,5867,"SMITH, Len",Len Smith,1917-03-25
0,9855,"SMITH, Neville",Neville Smith,1915-12-13
0,7451,"STACKER, Len",Len Stacker,-
0,6008,"STANTON, Frank",Frank 'Biscuits' Stanton,1940-02-07
0,5800,"STEHR, Ray",Ray Stehr,1913-01-24
0,7906,"STEPHENSON, Mike",Mike Stephenson,1947-01-27
0,1195,"STONE, Rick",Rick Stone,1967-02-14
0,211,"STUART, Ricky",Ricky Stuart,1967-01-07
0,14244,"SULLIVAN, Bill",Bill Sullivan,1927-07-16
0,5931,"SULLIVAN, Bob",Bob Sullivan,1931
0,9444,"TAIT, Jim",Jim Tait,1904
0,243,"TAYLOR, Jason",Jason Taylor,1971-02-02
0,1519,"THOMPSON, Alan",Alan Thompson,1953-10-10
0,6031,"THOMSON, Allan",Allan Thomson,1943-02-18
0,6001,"THORNETT, Ken",Ken 'The Mayor' Thornett,1937-11-27
0,10867,"THORNTON, Noel",Noel 'Sailor' Thornton,1943-06-03
0,9640,"TIPPING, Norm",Norm Tipping,1913-01-11
0,9030,"TOOHEY, Jack",Jack Toohey,1899-06-13
0,505,"TOOVEY, Geoff",Geoff Toovey,1969-06-17
0,9160,"TRAYNOR, Arnold",Arnold Traynor,1896-06-14
0,10391,"TREVENA, Leo",Leo 'Trapper' Trevena,1929
0,6032,"TUTTY, Dennis",Dennis Tutty,1945-12-29
0,6097,"WAITE, David",David Waite,1951-05-30
0,5977,"WALSH, Ian",Ian 'Abdul' Walsh,1933-03-20
0,9835,"WALSH, Jack",Jack 'Duck' Walsh,1917-08-24
0,226,"WALTERS, Kevin",Kevin Walters,1967-10-20
0,5816,"WARD, Laurie",Laurie Ward,1911-03-27
0,10819,"WARNER, Ross",Ross Warner,1943-11-10
0,5382,"WATKINS, Jack",Jack Watkins,1893-02-12
0,11940,"WATSON, Dave",Dave Watson,1900-03-25
0,7503,"WATSON, Ron",Ron 'Bluey' Watson,1929-02-16
0,23457,"WEBSTER, Andrew",Andrew Webster,1982-01-17
0,750,"WHITE, Brett",Brett White,1982-04-08
0,9479,"WHY, Alby",Alby Why,1899-08-02
0,5925,"WILLEY, Ron",Ron Willey,1929-11-20
0,5408,"WILLIAMS, Bob",Bob Williams,1886-12-22
0,5828,"WILLIAMS, Percy",Percy Williams,1910-03-10
0,5965,"WILSON, Billy",Billy Wilson,1927-05-31
0,21529,"WOOLF, Kristian",Kristian Woolf,1975-07-06
0,9528,"WRIGHT, Tom",Tom Wright,1900-12-07
0,1523,"YOUNG, Craig",Craig Young,1956-06-25
0,809,"YOUNG, Dean",Dean Young,1983-10-28
