year,match_no,date,time,time_24hr,match_id,venue_id,crowd,pom_id,home_team,home_team_ht_score,home_team_score,home_team_penalties,away_team,away_team_ht_score,away_team_score,away_team_penalties
1989,1,1989-05-23,7:35 PM,19:35:00,2318,22,33088,4,Maroons,18,36,6,Blues,0,6,4
1989,2,1989-06-14,7:35 PM,19:35:00,2319,1,40000,892,Blues,6,12,5,Maroons,6,16,3
1989,3,1989-06-28,7:35 PM,19:35:00,2320,22,33268,229,Maroons,8,36,5,Blues,12,16,5
1990,1,1990-05-09,8:00 PM,20:00:00,2321,1,41235,858,Blues,6,8,9,Maroons,0,0,5
1990,2,1990-05-30,8:00 PM,20:00:00,2322,12,25800,211,Blues,6,12,3,Maroons,0,6,7
1990,3,1990-06-13,8:00 PM,20:00:00,2323,22,31416,1001,Maroons,10,14,8,Blues,10,10,5
1991,1,1991-05-08,8:00 PM,20:00:00,2342,22,32400,892,Maroons,2,6,6,Blues,0,4,3
1991,2,1991-05-29,8:00 PM,20:00:00,2343,1,41520,81,Blues,8,14,5,Maroons,6,12,6
1991,3,1991-06-12,8:00 PM,20:00:00,2344,22,33226,4,Maroons,8,14,4,Blues,4,12,4
1992,1,1992-05-06,8:00 PM,20:00:00,2345,1,40039,858,Blues,6,14,4,Maroons,6,6,4
1992,2,1992-05-20,8:00 PM,20:00:00,2346,22,31500,1001,Maroons,4,5,4,Blues,4,4,4
1992,3,1992-06-03,8:02 PM,20:02:00,2347,1,41878,211,Blues,4,16,7,Maroons,2,4,8
1993,1,1993-05-03,8:00 PM,20:00:00,2348,22,33000,211,Maroons,2,10,4,Blues,12,14,3
1993,2,1993-05-17,8:00 PM,20:00:00,2349,1,41895,192,Blues,0,16,7,Maroons,6,12,5
1993,3,1993-05-31,8:00 PM,20:00:00,2350,22,31500,65,Maroons,8,24,8,Blues,12,12,5
1994,1,1994-05-23,8:00 PM,20:00:00,2351,1,41859,222,Blues,6,12,7,Maroons,4,16,9
1994,2,1994-06-08,8:00 PM,20:00:00,2352,37,87161,396,Blues,8,14,9,Maroons,0,0,12
1994,3,1994-06-20,8:00 PM,20:00:00,2353,22,40000,858,Maroons,6,12,3,Blues,18,27,3
1995,1,1995-05-15,8:00 PM,20:00:00,2354,1,39184,247,Blues,0,0,5,Maroons,2,2,7
1995,2,1995-05-31,8:00 PM,20:00:00,2355,37,52994,94,Blues,2,12,10,Maroons,8,20,7
1995,3,1995-06-12,8:00 PM,20:00:00,2356,22,40189,179,Maroons,12,24,6,Blues,10,16,6
1996,1,1996-05-20,8:00 PM,20:00:00,2357,22,39348,505,Maroons,0,6,9,Blues,10,14,7
1996,2,1996-06-03,8:00 PM,20:00:00,2358,1,41955,276,Blues,8,18,13,Maroons,6,6,8
1996,3,1996-06-17,8:00 PM,20:00:00,2359,22,38217,263,Maroons,2,14,9,Blues,6,15,5
1997,1,1997-05-28,8:00 PM,20:00:00,2360,22,28222,505,Maroons,0,6,6,Blues,8,8,6
1997,2,1997-06-11,8:00 PM,20:00:00,2361,37,25105,558,Blues,14,15,5,Maroons,10,14,6
1997,3,1997-06-25,8:00 PM,20:00:00,2362,1,33241,247,Blues,2,12,9,Maroons,12,18,6
1998,1,1998-05-22,8:00 PM,20:00:00,2367,1,36070,227,Blues,13,23,1,Maroons,6,24,3
1998,2,1998-06-05,8:00 PM,20:00:00,2368,22,40447,516,Maroons,6,10,4,Blues,20,26,2
1998,3,1998-06-19,8:00 PM,20:00:00,2369,1,38952,113,Blues,4,4,4,Maroons,12,19,1
1999,1,1999-05-26,8:00 PM,20:00:00,2370,22,38093,641,Maroons,4,9,8,Blues,6,8,6
1999,2,1999-06-09,8:00 PM,20:00:00,2371,20,88336,210,Blues,12,12,5,Maroons,8,8,4
1999,3,1999-06-23,8:00 PM,20:00:00,2372,22,39371,225,Maroons,6,10,3,Blues,6,10,5
2000,1,2000-05-10,8:00 PM,20:00:00,2373,20,61511,189,Blues,6,20,5,Maroons,8,16,5
2000,2,2000-05-24,8:00 PM,20:00:00,2374,22,38796,192,Maroons,4,10,8,Blues,0,28,5
2000,3,2000-06-07,8:00 PM,20:00:00,2375,20,58767,460,Blues,20,56,5,Maroons,10,16,5
2001,1,2001-05-06,8:00 PM,20:00:00,2376,22,38909,1273,Maroons,16,34,5,Blues,4,16,4
2001,2,2001-06-10,8:00 PM,20:00:00,2377,20,70249,806,Blues,6,26,3,Maroons,2,8,8
2001,3,2001-07-01,8:00 PM,20:00:00,2378,13,48441,111,Maroons,28,40,9,Blues,8,14,5
2002,1,2002-05-22,8:00 PM,20:00:00,2379,20,55421,276,Blues,21,32,6,Maroons,4,4,3
2002,2,2002-06-05,8:00 PM,20:00:00,2380,13,47989,661,Maroons,8,26,2,Blues,6,18,4
2002,3,2002-06-26,7:30 PM,19:30:00,2381,20,74842,227,Blues,12,18,2,Maroons,8,18,1
2003,1,2003-06-11,8:00 PM,20:00:00,2382,1097,52420,808,Maroons,6,12,4,Blues,12,25,2
2003,2,2003-06-25,8:00 PM,20:00:00,2383,20,79132,276,Blues,17,27,4,Maroons,0,4,4
2003,3,2003-07-16,8:00 PM,20:00:00,2384,1097,52130,88,Maroons,16,36,5,Blues,0,6,4
2004,1,2004-05-26,8:00 PM,20:00:00,2385,20,68344,557,Blues,0,9,5,Maroons,4,8,3
2004,2,2004-06-16,8:00 PM,20:00:00,2386,1097,52478,735,Maroons,6,22,6,Blues,12,18,4
2004,3,2004-07-07,8:00 PM,20:00:00,2387,20,82487,845,Blues,18,36,4,Maroons,8,14,5
2005,1,2005-05-25,8:00 PM,20:00:00,2294,1097,52484,164,Maroons,13,24,1,Blues,0,20,2
2005,2,2005-06-15,8:00 PM,20:00:00,2439,20,82389,276,Blues,8,32,5,Maroons,12,22,2
2005,3,2005-07-06,8:00 PM,20:00:00,2939,1097,52436,834,Maroons,0,10,3,Blues,18,32,5
2006,1,2006-05-24,8:00 PM,20:00:00,4023,20,72773,1641,Blues,14,17,3,Maroons,0,16,4
2006,2,2006-06-14,8:00 PM,20:00:00,4024,1097,52468,111,Maroons,14,30,2,Blues,0,6,3
