,match_id,ref_id
0,38564,42498
0,38565,1692
0,38565,42813
0,38587,42499
0,38587,42697
0,38566,42549
0,38566,42804
0,38567,42116
0,38567,42650
0,38568,42086
0,38568,42701
0,38569,42376
0,38569,42908
0,38570,42134
0,38570,42748
0,38571,42134
0,38571,42495
0,38572,1692
0,38572,42650
0,38573,42093
0,38573,42498
0,38574,42086
0,38574,42748
0,38576,1692
0,38576,42701
0,38577,42086
0,38577,42804
0,38578,42499
0,38578,42813
0,38579,42549
0,38579,42650
0,38580,42134
0,38580,42495
0,38581,42697
0,38581,42748
0,38582,42376
0,38582,42908
0,38583,42116
0,38583,42915
0,38584,42134
0,38584,42916
0,38585,1692
0,38585,42804
0,38586,42499
0,38586,42701
0,38609,42093
0,38609,42116
0,38610,42498
0,38610,42614
0,38611,42549
0,38611,42650
0,38612,42495
0,38612,42697
0,38637,42086
0,38637,42748
0,38638,42086
0,38638,42701
0,38639,1692
0,38639,42093
0,38640,42376
0,38640,42650
0,38640,43188
0,38641,42549
0,38641,42614
0,38642,42134
0,38642,42916
0,38643,42499
0,38643,42697
0,38644,42498
0,38644,42748
0,38645,42116
0,38645,42495
0,38646,42499
0,38646,42701
0,38647,42086
0,38647,42093
0,38648,42376
0,38648,42748
0,38649,1692
0,38649,42804
0,38650,42134
0,38650,42916
0,38651,42495
0,38651,42498
0,38664,42697
0,38664,42813
0,38652,42116
0,38652,42915
0,38653,42086
0,38653,42093
0,38654,42134
0,38654,42748
0,38655,42499
0,38655,42804
0,38656,1692
0,38656,42813
0,38657,42498
0,38657,42701
0,38658,42614
0,38658,42697
0,38659,42116
0,38659,42549
0,38660,42376
0,38660,42495
0,38661,42376
0,38661,42614
0,38662,42093
0,38662,42697
0,38663,42116
0,38663,42549
0,38677,42499
0,38677,42804
0,38678,42134
0,38678,42748
0,38679,1692
0,38679,42916
0,38886,42086
0,38886,42495
0,38680,42498
0,38680,42701
0,38681,42499
0,38681,42697
0,38682,42086
0,38682,42804
0,38683,1692
0,38683,42134
0,38684,42093
0,38684,42376
0,38685,42498
0,38685,42701
0,38686,42549
0,38686,42916
0,38687,42495
0,38687,42614
0,38688,42116
0,38688,42748
0,38689,42549
0,38689,42916
0,38690,42495
0,38690,42499
0,38691,42116
0,38691,42697
0,38692,42093
0,38692,42614
0,38693,42134
0,38693,42498
0,38694,1692
0,38694,42701
0,38695,42376
0,38695,42804
0,38696,42086
0,38696,42748
0,38697,42116
0,38697,42549
0,38698,42376
0,38698,42804
0,38699,1692
0,38699,42495
0,38700,42086
0,38700,42908
0,38701,42499
0,38701,42614
0,38702,42093
0,38702,42748
0,38703,42134
0,38703,42697
0,38704,42498
0,38704,42701
0,39917,42376
0,39917,42498
0,39918,42116
0,39918,42549
0,39919,1692
0,39919,42086
0,39920,42134
0,39920,42499
0,39943,42376
0,39943,42498
0,39944,42134
0,39944,42499
0,39991,42134
0,39991,42499
0,39992,42376
0,39992,42498
0,39999,42134
0,39999,42376
