,player_id,player_name_comma,player_birthday,total_matches,total_points
0,230,"GEE, Andrew",1970-04-23,17,4
0,1134,"GERARD, Geoff",1955-07-10,2,-
0,517,"GEYER, Mark",1967-12-07,3,-
0,736,"GEYER, Matt",1975-09-05,3,8
0,275,"GIDLEY, Kurt",1982-06-07,12,18
0,272,"GIDLEY, Matthew",1977-07-01,11,20
0,29830,"GILBERT, Tom",2000-08-05,2,-
0,261,"GILLESPIE, David",1964-03-22,15,-
0,14502,"GILLETT, Matt",1988-08-12,20,8
0,426,"GILLMEISTER, Trevor",1964-03-13,22,-
0,460,"GIRDLER, Ryan",1972-09-19,8,82
0,20257,"GLASBY, Tim",1989-04-27,5,-
0,624,"GODDARD, Jamie",1972-07-18,4,-
0,3617,"GORDON, Michael",1983-10-24,1,6
0,532,"GOURLEY, Scott",1968-07-18,1,-
0,329,"GOWER, Craig",1978-04-29,6,-
0,7827,"GRAHAM, Wade",1990-10-25,6,-
0,26157,"GRANT, Harry",1998-02-17,10+,4
0,5643,"GRANT, Tim",1988-02-17,2,-
0,407,"GREEN, Paul",1972-09-12,7,4
0,619,"GREENHILL, Craig",1972-02-14,6,-
0,1110,"GROTHE, Eric",1960-01-06,9,10
0,761,"GROTHE, Eric",1980-03-15,3,8
0,14506,"GUERRA, Aidan",1988-02-25,10,8
0,1563,"GURR, Marty",1958-09-11,2,-
0,20585,"GUTHERSON, Clinton",1994-09-09,4,-
0,25859,"HAAS, Payne",1999-12-02,13+,-
0,1070,"HAGAN, Michael",1964-08-12,5,-
0,241,"HALL, David",1968-09-23,1,-
0,1525,"HAMBLY, Gary",1956-04-18,1,-
0,255,"HANCOCK, Craig",1969-06-10,1,-
0,223,"HANCOCK, Michael",1969-10-21,14,20
0,1508,"HANCOCK, Rohan",1955-06-18,5,3
0,848,"HANNANT, Ben",1984-12-31,12,8
0,30,"HANNAY, Josh",1980-01-11,2,8
0,1094,"HANSON, Steve",1961-08-07,1,4
0,396,"HARRAGON, Paul",1968-10-12,20,8
0,1372,"HARRISON, Ashley",1981-05-18,15,-
0,260,"HASLER, Des",1961-02-16,12,8
0,1568,"HASTINGS, Kevin",1957-01-05,1,-
0,660,"HAUFF, Paul",1970-05-09,3,4
0,3709,"HAYNE, Jarryd",1988-02-15,23,44
0,250,"HEARN, Tony",1969-08-18,7,-
0,1369,"HEGARTY, Shannon",1979-06-14,3,-
0,1529,"HENRICK, Ross",1954-12-07,2,-
0,22019,"HESS, Coen",1996-08-14,6,-
0,1571,"HETHERINGTON, Brian",1954-01-14,2,-
0,641,"HETHERINGTON, Jason",1973-08-23,8,-
0,1573,"HEUGH, Cavill",1962-08-31,3,-
0,1538,"HILDITCH, Ron",1953-08-13,1,-
0,740,"HILL, Scott",1977-05-30,5,4
0,257,"HILL, Terry",1972-01-22,14,-
0,767,"HINDMARSH, Nathan",1979-09-07,17,4
0,107,"HODGES, Justin",1982-05-25,24,22
0,307,"HODGSON, Brett",1978-02-12,6,14
0,14508,"HODKINSON, Trent",1988-08-31,6,28
0,745,"HOFFMAN, Ryan",1984-01-26,14,-
0,423,"HOHN, Mark",1967-01-29,9,-
0,21369,"HOLBEN, Greg",1951-08-03,1,-
0,20869,"HOLMES, Valentine",1995-07-24,18+,130
0,30904,"HOPGOOD, J'maine",1999-05-11,1+,-
0,258,"HOPOATE, John",1974-01-16,1,-
0,14998,"HOPOATE, William",1992-05-09,5,4
0,801,"HORNBY, Ben",1980-02-10,3,-
0,28215,"HORSBURGH, Corey",1998-01-03,1,-
0,516,"HOWE, Rodney",1973-01-31,8,-
0,779,"HUGHES, Mark",1976-12-15,3,-
0,13914,"HUNT, Ben",1990-03-27,19+,20
0,106,"HUNT, Karmichael",1986-11-17,10,-
0,997,"HUNT, Neil",1960-11-21,2,4
0,28817,"HYNES, Nicho",1996-06-18,2+,2
0,7858,"IDRIS, Jamal",1990-07-06,1,4
0,699,"IKIN, Ben",1977-02-21,17,12
0,1379,"INGLIS, Greg",1987-01-15,32,72
0,1137,"IZZARD, Brad",1962-05-06,4,6
0,864,"JACK, Garry",1961-03-14,17,4
0,19956,"JACKSON, Josh",1991-01-08,9,-
0,888,"JACKSON, Peter",1964-04-16,16,6
0,913,"JACKSON, Steve",1965-10-22,9,4
0,963,"JARVIS, Pat",1957-03-24,8,-
0,5563,"JENNINGS, Michael",1988-04-20,18,24
0,1539,"JENSEN, Barry",1956-04-24,1,-
0,276,"JOHNS, Andrew",1974-05-19,23,94
0,224,"JOHNS, Chris",1964-03-14,9,12
0,393,"JOHNS, Matthew",1971-07-27,4,-
0,746,"JOHNSON, Dallas",1982-01-23,12,4
0,1160,"JOHNSTON, Brian",1958-11-13,8,8
0,1567,"JOHNSTON, Lindsay",1964-03-06,2,-
0,438,"JONES, Gavin",1964-01-01,4,-
0,1564,"JURD, Stan",1958-11-22,2,-
